BepInExPack,BepInEx
LethalConfig,AinaVT
VertexLibrary,LethalCompanyModding
GeneralImprovements,ShaosilGaming
EnemySoundFixes,ButteryStancakes
BarberFixes,ButteryStancakes
JetpackFixes,ButteryStancakes
MeleeFixes,ButteryStancakes
WeedKillerFixes,ButteryStancakes
CullFactory,fumiko
HideChat,Monkeytype
FixRPCLag,Bobbie
MoonPriceDisplay,Gloveman23
RankFix,Glitch
CoilHeadStare,TwinDimensionalProductions
NilsHUD,Nilaier
AccurateStaminaDisplay,ButteryStancakes
LethalRichPresence,mrov
AlwaysHearActiveWalkies,Suskitech
ShipLoot,tinyhoot
CompatibilityChecker,Ryokune
